num_threads,processing_avg_s,accumulate_avg_s,compute_avg_s,total_avg_s,processing_speep_up,compute_speed_up,total_speed_up
1,29.57,0.00,8.00,37.57,1.00,1.00,1.00
2,21.40,0.13,8.20,29.74,1.38,0.98,1.26
3,21.62,0.30,8.25,30.17,1.37,0.97,1.25
4,20.82,0.25,8.17,29.24,1.42,0.98,1.28
5,19.33,2.58,8.16,30.07,1.53,0.98,1.25
6,20.25,0.26,8.13,28.64,1.46,0.98,1.31
7,21.47,0.40,7.92,29.79,1.38,1.01,1.26
8,19.96,0.34,7.75,28.05,1.48,1.03,1.34
9,23.15,0.25,8.17,31.57,1.28,0.98,1.19
10,21.09,0.38,8.24,29.72,1.40,0.97,1.26
11,17.33,0.25,8.12,25.69,1.71,0.99,1.46
12,18.95,0.32,7.76,27.03,1.56,1.03,1.39
13,19.27,0.31,7.98,27.55,1.53,1.00,1.36
14,21.22,0.40,8.48,30.10,1.39,0.94,1.25
15,17.38,3.41,8.02,28.81,1.70,1.00,1.30
16,20.38,1.38,8.71,30.47,1.45,0.92,1.23
