num_threads,processing_avg_s,accumulate_avg_s,compute_avg_s,total_avg_s
1,35.273,0.0,14.226,49.499
2,26.025,0.37925,13.97175,40.376
3,27.2565,0.2795,14.1705,41.7065
4,23.22025,0.30725,13.64075,37.16825
5,25.8395,0.251,13.77875,39.86925
6,22.59375,0.25,13.54725,36.391
7,24.869,0.383,13.3555,38.6075
8,24.025,0.46025,14.10925,38.5945
9,26.731,0.443,13.679,40.853
10,24.01325,0.52625,13.59725,38.13675
11,26.55825,0.3425,13.5425,40.44325
12,26.93825,0.53675,13.206,40.681
13,20.82725,0.5425,12.81775,34.1875
14,18.99025,3.58325,13.2375,35.811
15,18.74625,5.0215,12.82025,36.588
16,20.09325,2.66275,13.5425,36.2985
