,220.4882
a,207.39737
aa,127.0
aaa,127.25
aaabusiness,155.0
aaarh,135.0
aaassp,122.0
aach,114.375
aadead,92.0
aaem,191.0
aah,129.57812
aamatter,137.0
aamen,159.0
aaraaf,111.0
aaron,204.24995
aaronites,154.0
aarons,137.07332
aaskin,113.0
aatris,150.0
aatu,236.0
ab,190.8917
ababs,149.0
aback,141.08823
abacus,118.0
abaddon,150.0
abadejo,156.0
abaft,164.6875
abagtha,210.0
abaht,130.0
abaissethe,85.0
abaissiez,239.0
abajo,123.0
abana,103.0
abandon,114.599625
abandond,101.44531
abandoned,122.08714
abandonedly,142.0
abandonedmy,177.0
abandonedto,99.0
abandoning,138.84532
abandonlengthening,185.0
abandonment,122.180176
abandonmenthow,154.0
abandons,155.58734
abantes,76.5
abantian,131.0
abarbarea,143.0
abare,180.0
abares,120.125
abarian,109.0
abarim,121.5
abarking,147.0
abart,108.0
abas,160.0
abase,157.41602
abased,115.9798
abasement,112.036476
abases,105.0
abash,124.0
abashd,131.0
abashed,143.17264
abasing,143.25
abatd,124.0
abate,96.43172
abated,168.13748
abatement,139.45996
abatements,120.75
abates,129.375
abatfowling,84.0
abating,148.8125
abatis,113.5
abattoir,146.5
abattoirs,157.0
abaying,114.0
abb,124.48245
abba,112.625
abbadon,153.0
abbas,150.25
abbate,188.0
abbatial,105.0
abbaye,94.125
abbayein,113.0
abbe,157.13454
abberations,249.0
abberent,143.0
abbes,164.22203
abbess,94.62975
abbethe,149.0
abbeville,137.5
abbey,137.41414
abbeyland,111.0
abbeymill,123.546875
abbeyoh,197.0
abbeys,142.5
abbico,131.0
abbominable,103.0
abbot,116.458824
abbots,160.09375
abbotsburys,108.0
abbreviate,74.0
abbreviated,138.20898
abbreviating,138.0
abbreviation,128.03516
abbreviations,103.5
abbs,111.0
abc,106.5
abda,119.0
abdeel,126.0
abdelkader,227.0
abdera,143.0
abdi,157.0
abdias,328.0
abdicate,123.25
abdicated,141.125
abdicates,132.875
abdicating,74.0
abdication,124.953125
abdiel,72.0
abdita,138.0
abdol,162.0
abdomen,172.96875
abdomens,131.25
abdominal,130.5
abdon,122.28906
abducendus,127.0
abducere,165.0
abducted,82.0
abducting,109.0
abduction,168.26953
abductors,99.0
abducts,126.0
abdys,163.0
abe,216.5
abeakuta,211.0
abeakutic,190.0
abeam,149.5
abeaming,142.0
abear,121.90625
abeat,177.0
abecedarian,171.0
abecedarianseneca,93.0
abed,159.16602
abedmy,344.0
abednego,154.34314
abegging,149.26562
abeilard,163.0
abel,167.74493
abelard,113.5
abelbethmaachah,156.5
abelderin,195.0
abelleus,172.25
abelmaim,100.0
abelmeholah,121.25
abelmizraim,159.0
abels,147.5
abelshittim,170.0
aber,135.0
abercrombie,203.0
aberdeen,164.25
abergany,99.0
abergavenny,122.14844
abernethy,141.25
abernuncio,108.0
aberration,141.23468
aberrations,151.0
aberrying,159.0
abest,187.5
abet,122.3125
abets,125.0
abetted,146.09375
abetting,155.0
abettor,116.0
abettors,109.75
abeyance,120.546875
abez,168.0
abfxustgrnogrkzu,271.0
abhira,96.0
abhominable,130.0
abhor,103.25073
abhorrd,101.14508
abhorrdst,123.0
abhorre,84.0
abhorred,112.95413
abhorrence,103.39776
abhorrent,149.46875
abhorrentem,107.0
abhorrest,145.0
abhorreth,79.09375
abhorring,174.3125
abhors,102.53418
abhorson,139.84427
abi,146.0
abia,120.0
abiah,122.59375
abialbon,194.0
abiasaph,122.0
abiathar,160.843
abiathars,182.0
abib,108.03125
abida,103.0
abidah,105.0
abidan,137.125
abide,112.280304
abided,115.375
abides,120.93701
abidest,100.0
abideth,111.069824
abiding,108.907166
abiel,138.0
abiezer,117.59375
abiezrite,133.0
abiezrites,56.0
abigail,125.83749
abigails,126.0
abihail,148.59375
abihu,109.7301
abihud,122.0
abiit,92.0
abijah,199.59439
abijam,126.625
abilene,153.0
abilin,80.0
abiling,143.5
abilities,144.17181
ability,129.50883
abilityes,118.0
abilitys,106.0
abimael,157.0
abimelech,171.65187
abimelechs,151.0
abin,121.0
abinadab,145.33594
abindarraez,118.125
abington,196.0
abinoam,112.375
abion,94.5
abiram,118.926025
abirding,116.125
abire,180.0
abirom,181.0
abis,108.0
abishag,150.125
abishai,143.83636
abishalom,88.0
abishua,165.0625
abishur,90.0
abit,106.0
abital,134.5
abitub,115.0
abiud,322.0
abject,131.3941
abjectam,168.0
abjecti,111.0
abjection,100.0
abjectly,145.25
abjectness,149.125
abjectnesses,163.0
abjects,142.25
abjectus,85.0
abjectwhich,156.0
abjicit,206.0
abjurd,142.5
abjure,90.41797
abjured,162.75
abjures,138.0
ablamar,107.0
ablation,173.0
ablative,257.5
ablatum,130.0
ablaze,143.63596
ablazing,136.5
able,114.78183
ableand,135.0
ablebodied,165.375
ablebut,98.0
ableeding,109.78125
ablehave,118.0
abler,142.25
ablerus,195.0
ableshe,71.0
ablest,146.19727
ableto,87.0
ablevoltaire,94.0
ablitionist,89.0
abloom,104.0
ablossom,137.0
ablowin,144.0
ablowing,151.25
ablubbering,161.0
ablushing,81.0
abluted,198.0
ablution,143.0
ablutions,148.27966
ably,140.5
abnegated,135.0
abnegation,177.11218
abner,188.01282
abners,119.0
abnormal,142.0475
abnormalities,164.875
abnormality,112.75
abnormally,185.9375
aboad,114.5
aboard,174.72641
aboardclumb,124.0
abode,135.21042
aboded,131.0
abodements,178.0
abodes,157.66307
abodesin,182.0
abodest,117.0
abodethe,116.0
abodewhether,175.0
aboding,169.0
aboil,144.0
abolish,101.774414
abolished,168.66855
abolishedexpression,110.0
abolishedthere,157.0
abolishes,238.5
abolishing,136.875
abolition,159.21399
abolitionism,169.0
abolitionist,136.71875
abolitionists,138.96875
abolitionistsof,89.0
abominable,172.27489
abominably,141.70618
abominate,114.541016
abominated,130.0
abominates,110.5
abomination,97.028694
abominations,128.72096
abominationyou,178.0
abooming,104.0
aboon,139.5
aboord,186.0
aboot,142.5
aborde,121.0
aboriginal,144.58789
aboriginally,91.0
aboriginalness,172.0
aborigines,126.71875
aboriri,241.0
abortion,125.34375
abortions,159.5625
abortive,125.70795
abortives,171.0
abothering,102.0
abou,115.5
abought,123.5
abougor,190.0
aboukir,79.0
abound,104.42448
aboundance,159.0
abounded,156.90855
aboundeth,112.25
aboundhere,115.0
abounding,114.88721
aboundingly,87.0
abounds,173.6424
aboundst,122.0
about,193.50478
aboutabout,169.0
aboutand,169.0
aboutas,148.0
aboutask,163.0
aboutenough,181.0
aboutfor,63.0
abouthow,122.5
abouthowever,151.0
abouti,173.9375
aboutif,118.0
aboutis,139.0
aboutits,159.0
aboutrather,205.0
aboutrumours,182.0
aboutsetting,133.0
aboutshe,145.0
aboutthat,135.0
aboutthem,181.0
aboutthick,272.0
aboutwhat,183.0
aboutwhenever,117.0
aboutyou,99.0
above,118.27249
aboveboard,166.25
abovedescribed,173.0
abovefor,157.0
aboveground,93.0
abovehe,132.0
abovehes,122.0
abovelord,131.0
abovementioned,135.28125
abovenamed,138.17188
abovenamely,133.0
abovenothing,68.0
abovesaid,141.0
abovestill,96.0
abovethe,195.0
abovewritten,188.0
abr,70.822266
abra,118.0
abraded,81.5
abragging,96.0
abraham,121.73712
abrahams,155.62733
abraid,153.5
abram,183.22784
abramoff,151.0
abramovitz,249.0
abramovna,120.0
abrams,104.703125
abranching,104.0
abreakfasting,121.0
abreakinga,174.0
abreast,150.39038
abreeding,134.0
abrenuncio,139.0
abrewing,114.5
abrg,140.0
abridgd,119.0
abridge,136.75327
abridged,141.24118
abridgement,166.25
abridgementperhaps,128.0
abridgements,249.0
abridging,86.0
abridgment,160.77356
abridgments,103.0
abrines,110.0
abroach,160.5
abroad,179.92075
abroada,109.0
abroadaeneid,77.0
abroadanon,118.0
